name,profession,country,gender,link
Henk Camping,programmer,Netherlands,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/545
Antonio Campos,Director,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/881
José María Caparrós-Lera,academic,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/462
Rolando Caputo,academic,Australia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/139
Nae Caranfil,Director,Romania,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1086
Martin Tudor Caranfil,critic,Romania,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/327
Edwin Carels,programmer,Netherlands,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/642
Michelle Carey,programmer,Australia,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/293
Ray Carney,academic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/175
Niki Caro,Director,New Zealand/US,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1093
Noel Carroll,academic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/242
Robert Cashill,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/152
Michael Caton Jones,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1066
Massimo Causo,programmer,Italy,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/325
Dylan Cave,archivist,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/650
Joseph Cedar,Director,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1008
Nuri Bilge Ceylan,Director,Turkey,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1095
Michal Chacinski,programmer,Poland,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/298
Billy Chainsaw,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/759
Anchalee Chaiworaporn,critic,Thailand,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/818
Evans Chan,Director,China/Hong Kong/US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/942
Michael Chanan,academic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/309
Bryan Chang,critic,Hong Kong,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/749
Chris Chang,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/725
Justin Chang,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/446
Jeon Chanil,programmer,South Korea,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/489
Tom Charity,critic,Canada,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/46
Carlo Chatrian,critic,Italy,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/746
Andrew Yusu Cheng,Director,China,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/870
Youssef Cherif Rizkallah,programmer,Egypt,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/4
Godfrey Cheshire,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/585
Li Cheuk-to,programmer,Hong Kong,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/396
Peggy Chiao,academic,Taiwan,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/210
Mihai Chirilov,programmer,Romania,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/288
Vidhu Vinod Chopra,Director,India,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1192
Ian Christie,academic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/535
Jaime N Christley,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/520
Roberta Ciabarra,programmer,Australia,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/147
José Luis Cienfuegos,programmer,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/465
Michel Ciment,critic,France,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/296
George Clark,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/580
Renata Clark,programmer,Czech Republic,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/170
Donald Clarke,critic,Ireland,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/653
Roger Clarke,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/143
Thomas Clay,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1184
Joshua Clover,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/457
Robbie Collin,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/154
Andrew Collins,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/811
Fernando Colomo,Director,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/946
Richard Combs,academic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/166
Philip Concannon,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/192
Charlotte Cook,programmer,UK/Canada,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/727
Pam Cook,academic,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/232
Karen Cooper,programmer,US,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/441
Francis Ford Coppola,Director,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/948
Anton Corbijn,Director,Netherlands,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/880
Kieron Corless,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/423
Richard Corliss,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/165
Jesús Cortés,critic,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/488
Rodrigo Cortés,Director,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1149
Mark Cosgrove,programmer,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/348
José Manuel Costa,archivist,Portugal,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/463
Mark Cousins,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/347
Noah Cowan,programmer,Canada,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/245
David Cox,programmer,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/689
Edgardo Cozarinsky,Director,Argentina,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/935
Alfonso Crespo Cuaresma,critic,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/827
Marian Crisan,Director,Romania,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1054
Fernando F Croce,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/614
Gary Crowdus,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/590
Sean Cubitt,academic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/113
Hussain Currimbhoy,programmer,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/538
David Curtis,academic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/688
Ludmila Cvikova,programmer,Netherlands,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/379
Diego Batlle,,Argentina,,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/661
Mike D'Angelo,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/287
Nevena Dakovic,academic,Serbia,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/260
Phan Dang-Di,Director,Vietnam,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1128
Shane Danielsen,critic,Australia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/103
Adrian Danks,academic,Australia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/843
Jean-Pierre & Luc Dardenne,Director,Belgium,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/989
Manohla Dargis,critic,US,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/372
Chris Darke,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/724
Sam Davies,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/126
Terence Davies,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1181
Peter Davis,Director,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1119
Rhidian Davis,programmer,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/169
Thomas Dawson,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/61
Rolf de Heer,Director,Australia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1152
Flavia de la Fuente,critic,Argentina,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/608
Inge de Leeuw,programmer,Netherlands,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/528
Gonzalo de Lucas,academic,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/568
Manoel de Oliveira,Director,Portugal,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1047
José María de Orbe,Director,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1007
Tacita Dean,Director,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1179
Brad Deane,programmer,Canada,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/756
Peter Debruge,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/205
Guillermo del Toro,Director,Mexico,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/962
Antonio Delgado,programmer,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/789
Maria M Delgado,academic,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/354
Jeremy Deller,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/992
Stéphane Delorme,critic,France,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/89
David Denby,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/687
Chris Dercon,programmer,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/723
Margaret Deriaz,distributor,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/357
Ally Derks,programmer,Netherlands,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/825
Eric Derobert,critic,France,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/632
Catharine Des Forges,programmer,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/737
Guy Désiré Yameogo,programmer,Burkina Faso,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/555
