movie,year,director,movie_id
Ashes and Diamonds,1958,Andrzej Wajda,id_224
Hiroshima Mon Amour,1959,Alain Resnais,id_225
Intolerance,1916,D.W. Griffith,id_226
Viridiana,1961,Luis Buñuel,id_227
Wings of Desire,1987,Wim Wenders,id_228
"argent, L'",1983,Robert Bresson,id_229
Early Summer,1951,Ozu Yasujirô ,id_230
Millennium Mambo,2001,Hsiao-hsien Hou,id_231
Ordet,1955,Carl Theodor Dreyer,id_232
Rear Window,1954,Alfred Hitchcock,id_233
Road to Nowhere,2010,Monte Hellman,id_234
Sunrise,1927,F. W. Murnau,id_235
Au Revoir les enfants,1987,Louis Malle,id_236
"boucher, Le",1970,Claude Chabrol,id_237
"Gold Rush, The",1925,Charles Chaplin,id_238
Manhattan,1979,Woody Allen,id_239
"General, The",1926,Buster Keaton,id_240
His Girl Friday,1939,Howard Hawks,id_241
"Morte Rouge, La",2006,Víctor Erice,id_242
My Night with Maud,1969,Eric Rohmer,id_243
Ten,2002,Abbas Kiarostami,id_244
Annie Hall,1977,Woody Allen,id_245
Hour of the Wolf,1968,Ingmar Bergman,id_246
Melancholia,2011,Lars von Trier,id_247
Uncle Boonmee Who Can Recall His Past Lives,2010,Apichatpong Weerasethakul,id_248
"Wild Bunch, The",1969,Sam Peckinpah,id_249
Black Narcissus,1947,Michael Powell/Emeric Pressburger,id_250
Fitzcarraldo,1981,Werner Herzog,id_251
"Last Wave, The",1977,Peter Weir,id_252
Last Year At Marienbad,1961,Alain Resnais,id_253
Lost Highway,1996,David Lynch,id_254
"Seventh Continent, The",1989,Michael Haneke,id_255
Videodrome,1983,David Cronenberg,id_256
"Crying Game, The",1992,Neil Jordan,id_257
"Exorcist, The",1973,William Friedkin,id_258
"Holy Mountain, The",1973,Alejandro Jodorowsky,id_259
Miracle of Marcelino,1955,Ladislao Vajda,id_260
Punch-Drunk Love,2002,Paul Thomas Anderson,id_261
To Kill a Mockingbird,1962,Robert Mulligan,id_262
Chronicle of Anna Magdalena Bach,1968,Jean-Marie Straub/Danièle Huillet,id_263
Gertrud,1964,Carl Theodor Dreyer,id_264
Histoire(s) du cinéma,,Jean-Luc Godard,id_265
Late Spring,1949,Ozu Yasujirô ,id_266
She Wore a Yellow Ribbon,1949,John Ford,id_267
Spione,1928,Fritz Lang,id_268
"Story of the Late Chrysanthemums, The",1939,Mizoguchi Kenji,id_269
Stromboli,1950,Roberto Rossellini,id_270
"Hustler, The",1961,Robert Rossen,id_271
Kes,1969,Ken Loach,id_272
Some Like It Hot,1959,Billy Wilder,id_273
"Devil Probably, The",1977,Robert Bresson,id_274
"Double Life of Veronique, The",1991,Krzysztof Kieslowski,id_275
"Lady Eve, The",1941,Preston Sturges,id_276
"Shining, The",1980,Stanley Kubrick,id_277
"Steamboat Bill, Jr.",1928,Buster Keaton,id_278
Twin Peaks: Fire Walk With Me,1992,David Lynch,id_279
Blood of the Beasts,1948,Georges Franju,id_280
By the Bluest of Seas,1935,Boris Barnet/S. Mardanin,id_281
"chien andalou, Un",1928,Luis Buñuel,id_282
"hautes solitudes, Les",1974,Philippe Garrel,id_283
Inland Empire,2006,David Lynch,id_284
Meshes of the Afternoon,1943,Maya Deren/Alexander Hammid,id_285
Sans Soleil,1982,Chris Marker,id_286
Scénario du film' Passion' ,1983,Jean-Luc Godard,id_287
"Tempestaire, Le",1947,Jean Epstein,id_288
"Winnipeg, My",2007,Guy Maddin,id_289
Amor de Perdição,1978,Manoel de Oliveira,id_290
Pierrot le Fou,1965,Jean-Luc Godard,id_291
Rio Bravo,1958,Howard Hawks,id_292
Shock Corridor,1963,Samuel Fuller,id_293
"Testament of Dr Mabuse, The",1933,Fritz Lang,id_294
Touch of Evil,1958,Orson Welles,id_295
Where is My Friend's House?,1989,Abbas Kiarostami,id_296
"Femme Douce, Une",1969,Robert Bresson,id_297
"Inmigrant, The",1917,Charles Chaplin,id_298
Land Without Bread,1933,Luis Buñuel,id_299
Limite,1931,Mario Peixoto,id_300
Mission Impossible,1996,Brian De Palma,id_301
Past and Present,1971,Manoel de Oliveira,id_302
Pilgrimage,1933,John Ford,id_303
Vivir en Sevilla,,Gonzalo García Pelayo,id_304
Battleship Potemkin,1925,Sergei M Eisenstein,id_305
"Blue Angel, The",1930,Josef von Sternberg,id_306
Cabaret,1972,Bob Fosse,id_307
"Killer, The",1989,John Woo,id_308
"Chronicle of a Disappearance, A",1996,Elia Suleiman,id_309
Days of Heaven,1978,Terrence Malick,id_310
"Petites guerres, Les",1982,Maroun Baghdadi,id_311
Walkabout,1970,Nicolas Roeg,id_312
"Age of the Earth, The",1980,Glauber Rocha,id_313
"Birth of a Nation, The",1915,D.W. Griffith,id_314
October,1928,Sergei M Eisenstein,id_315
Paisà,1946,Roberto Rossellini,id_316
"Quince Tree Sun, The",1992,Víctor Erice,id_317
"sortie des usines Lumière, La",1895,Louis Lumière,id_318
Days of Being Wild,1990,Wong Kar Wai,id_319
George Washington,2000,David Gordon Green,id_320
Last Tango in Paris,1972,Bernardo Bertolucci,id_321
"One and a Two, A",1999,Edward Yang,id_322
Syndromes and a Century,2006,Apichatpong Weerasethakul,id_323
"Gospel According to St Matthew, The",1964,Pier Paolo Pasolini,id_324
Ludwig,1972,Luchino Visconti,id_325
Napoleon,1927,Abel Gance,id_326
Van Gogh,1991,Maurice Pialat,id_327
"Avventura, L'",1960,Michelangelo Antonioni,id_328
Pather Panchali,1955,Satyajit Ray,id_329
"Swimmer, The",1968,Frank Perry,id_330
City of God,2002,Fernando Meirelles,id_331
Farewell My Concubine,1993,Chen Kaige,id_332
Moulin Rouge,2001,Baz Luhrmann,id_333
Salaam Bombay!,1988,Mira Nair,id_334
Satyricon,1969,Federico Fellini,id_335
Secrets and Lies,1996,Mike Leigh,id_336
Volver,2005,Pedro Almodóvar,id_337
Sherlock Jr,1924,Buster Keaton,id_338
Barren Lives,1963,Nelson Pereira dos Santos,id_339
Oedipux Rex,1967,Pier Paolo Pasolini,id_340
"Passenger, The",1974,Michelangelo Antonioni,id_341
"Travelling Players, The",1975,Theodoros Angelopoulos,id_342
Twenty Years Later,1984,Eduardo Coutinho,id_343
