voter,voter_profession,voter_country,movie_id
Kevin MacDonald,Director,UK,id_845
Kevin MacDonald,Director,UK,id_184
Kevin MacDonald,Director,UK,id_131
Kevin MacDonald,Director,UK,id_492
Kevin MacDonald,Director,UK,id_470
Kevin MacDonald,Director,UK,id_568
Kevin MacDonald,Director,UK,id_273
Kevin MacDonald,Director,UK,id_834
Scott MacDonald,academic,US,id_20
Scott MacDonald,academic,US,id_1208
Scott MacDonald,academic,US,id_240
Scott MacDonald,academic,US,id_437
Scott MacDonald,academic,US,id_57
Scott MacDonald,academic,US,id_6
Scott MacDonald,academic,US,id_470
Scott MacDonald,academic,US,id_86
Scott MacDonald,academic,US,id_914
Scott MacDonald,academic,US,id_1799
Tiago Mata Machado,Director,Brazil,id_192
Tiago Mata Machado,Director,Brazil,id_475
Tiago Mata Machado,Director,Brazil,id_495
Tiago Mata Machado,Director,Brazil,id_391
Tiago Mata Machado,Director,Brazil,id_367
Tiago Mata Machado,Director,Brazil,id_387
Tiago Mata Machado,Director,Brazil,id_140
Tiago Mata Machado,Director,Brazil,id_120
Tiago Mata Machado,Director,Brazil,id_150
Tiago Mata Machado,Director,Brazil,id_844
Peter Machen,critic,South Africa,id_20
Peter Machen,critic,South Africa,id_727
Peter Machen,critic,South Africa,id_107
Peter Machen,critic,South Africa,id_570
Peter Machen,critic,South Africa,id_1640
Peter Machen,critic,South Africa,id_247
Peter Machen,critic,South Africa,id_1800
Peter Machen,critic,South Africa,id_115
Peter Machen,critic,South Africa,id_228
Peter Machen,critic,South Africa,id_179
Gillies Mackinnon,Director,UK,id_370
Gillies Mackinnon,Director,UK,id_538
Gillies Mackinnon,Director,UK,id_1801
Gillies Mackinnon,Director,UK,id_207
Gillies Mackinnon,Director,UK,id_284
Gillies Mackinnon,Director,UK,id_1802
Gillies Mackinnon,Director,UK,id_470
Gillies Mackinnon,Director,UK,id_191
Gillies Mackinnon,Director,UK,id_543
Gillies Mackinnon,Director,UK,id_1803
Tony Macklin,critic,US,id_20
Tony Macklin,critic,US,id_522
Tony Macklin,critic,US,id_63
Tony Macklin,critic,US,id_53
Tony Macklin,critic,US,id_240
Tony Macklin,critic,US,id_238
Tony Macklin,critic,US,id_202
Tony Macklin,critic,US,id_119
Tony Macklin,critic,US,id_1119
Tony Macklin,critic,US,id_146
Geoffrey Macnab,critic,UK,id_31
Geoffrey Macnab,critic,UK,id_10
Geoffrey Macnab,critic,UK,id_63
Geoffrey Macnab,critic,UK,id_567
Geoffrey Macnab,critic,UK,id_238
Geoffrey Macnab,critic,UK,id_728
Geoffrey Macnab,critic,UK,id_131
Geoffrey Macnab,critic,UK,id_17
Geoffrey Macnab,critic,UK,id_146
Geoffrey Macnab,critic,UK,id_249
Guy Maddin,Director,Canada,id_521
Guy Maddin,Director,Canada,id_434
Guy Maddin,Director,Canada,id_461
Guy Maddin,Director,Canada,id_1722
Guy Maddin,Director,Canada,id_1272
Guy Maddin,Director,Canada,id_29
Guy Maddin,Director,Canada,id_115
Guy Maddin,Director,Canada,id_1804
Guy Maddin,Director,Canada,id_1148
Guy Maddin,Director,Canada,id_1805
Mike Maggiore,programmer,US,id_472
Mike Maggiore,programmer,US,id_1806
Mike Maggiore,programmer,US,id_1030
Mike Maggiore,programmer,US,id_1807
Mike Maggiore,programmer,US,id_213
Mike Maggiore,programmer,US,id_175
Mike Maggiore,programmer,US,id_329
Mike Maggiore,programmer,US,id_1427
Mike Maggiore,programmer,US,id_37
Mike Maggiore,programmer,US,id_471
Florence Maillard,critic,France,id_1808
Florence Maillard,critic,France,id_1809
Florence Maillard,critic,France,id_53
Florence Maillard,critic,France,id_1810
Florence Maillard,critic,France,id_463
Florence Maillard,critic,France,id_186
Florence Maillard,critic,France,id_144
Florence Maillard,critic,France,id_870
Florence Maillard,critic,France,id_1148
Florence Maillard,critic,France,id_1558
Frédéric Maire,archivist,Switzerland,id_1365
Frédéric Maire,archivist,Switzerland,id_867
Frédéric Maire,archivist,Switzerland,id_1121
Frédéric Maire,archivist,Switzerland,id_116
Frédéric Maire,archivist,Switzerland,id_578
Frédéric Maire,archivist,Switzerland,id_1811
Frédéric Maire,archivist,Switzerland,id_659
Frédéric Maire,archivist,Switzerland,id_556
Frédéric Maire,archivist,Switzerland,id_746
Frédéric Maire,archivist,Switzerland,id_235
Edwin Mak,critic,UK,id_1812
Edwin Mak,critic,UK,id_116
Edwin Mak,critic,UK,id_15
Edwin Mak,critic,UK,id_27
Edwin Mak,critic,UK,id_153
Edwin Mak,critic,UK,id_425
Edwin Mak,critic,UK,id_785
Edwin Mak,critic,UK,id_217
Edwin Mak,critic,UK,id_807
Edwin Mak,critic,UK,id_1175
